"Time","image-stats-746c9bfb67-qjqbn"
2025-07-07 13:05:37,32.0 MiB
2025-07-07 13:05:38,32.0 MiB
2025-07-07 13:05:39,32.0 MiB
2025-07-07 13:05:40,32.0 MiB
2025-07-07 13:05:41,32.0 MiB
2025-07-07 13:05:42,32.0 MiB
2025-07-07 13:05:43,32.0 MiB
2025-07-07 13:05:44,32.1 MiB
2025-07-07 13:05:45,32.1 MiB
2025-07-07 13:05:46,32.1 MiB
2025-07-07 13:05:47,32.1 MiB
2025-07-07 13:05:48,32.1 MiB
2025-07-07 13:05:49,32.1 MiB
2025-07-07 13:05:50,32.1 MiB
2025-07-07 13:05:51,32.1 MiB
2025-07-07 13:05:52,32.1 MiB
2025-07-07 13:05:53,32.1 MiB
2025-07-07 13:05:54,32.1 MiB
2025-07-07 13:05:55,32.1 MiB
2025-07-07 13:05:56,32.1 MiB
2025-07-07 13:05:57,32.1 MiB
2025-07-07 13:05:58,32.1 MiB
2025-07-07 13:05:59,32.1 MiB
2025-07-07 13:06:00,32.1 MiB
2025-07-07 13:06:01,32.1 MiB
2025-07-07 13:06:02,32.1 MiB
2025-07-07 13:06:03,32.1 MiB
2025-07-07 13:06:04,32.1 MiB
2025-07-07 13:06:05,32.1 MiB
2025-07-07 13:06:06,32.1 MiB
2025-07-07 13:06:07,32.1 MiB
2025-07-07 13:06:08,32.1 MiB
2025-07-07 13:06:09,32.1 MiB
2025-07-07 13:06:10,32.1 MiB
2025-07-07 13:06:11,32.1 MiB
2025-07-07 13:06:12,32.1 MiB
2025-07-07 13:06:13,32.1 MiB
2025-07-07 13:06:14,32.1 MiB
2025-07-07 13:06:15,32.1 MiB
2025-07-07 13:06:16,32.1 MiB
2025-07-07 13:06:17,32.2 MiB
2025-07-07 13:06:18,32.2 MiB
2025-07-07 13:06:19,32.2 MiB
2025-07-07 13:06:20,32.2 MiB
2025-07-07 13:06:21,32.2 MiB
2025-07-07 13:06:22,32.2 MiB
2025-07-07 13:06:23,32.2 MiB
2025-07-07 13:06:24,32.2 MiB
2025-07-07 13:06:25,32.2 MiB
2025-07-07 13:06:26,32.2 MiB
2025-07-07 13:06:27,32.2 MiB
2025-07-07 13:06:28,32.2 MiB
2025-07-07 13:06:29,32.1 MiB
2025-07-07 13:06:30,32.1 MiB
2025-07-07 13:06:31,32.1 MiB
2025-07-07 13:06:32,32.1 MiB
2025-07-07 13:06:33,32.1 MiB
2025-07-07 13:06:34,32.1 MiB
2025-07-07 13:06:35,32.1 MiB
2025-07-07 13:06:36,32.1 MiB
2025-07-07 13:06:37,32.1 MiB
2025-07-07 13:06:38,32.1 MiB
2025-07-07 13:06:39,32.1 MiB
2025-07-07 13:06:40,32.1 MiB
2025-07-07 13:06:41,32.1 MiB
2025-07-07 13:06:42,32.1 MiB
2025-07-07 13:06:43,32.1 MiB
2025-07-07 13:06:44,32.1 MiB
2025-07-07 13:06:45,32.1 MiB
2025-07-07 13:06:46,32.1 MiB
2025-07-07 13:06:47,32.1 MiB
2025-07-07 13:06:48,32.2 MiB
2025-07-07 13:06:49,32.2 MiB
2025-07-07 13:06:50,32.2 MiB
2025-07-07 13:06:51,32.2 MiB
2025-07-07 13:06:52,32.2 MiB
2025-07-07 13:06:53,32.2 MiB
2025-07-07 13:06:54,32.2 MiB
2025-07-07 13:06:55,32.2 MiB
2025-07-07 13:06:56,32.2 MiB
2025-07-07 13:06:57,32.2 MiB
2025-07-07 13:06:58,32.2 MiB
2025-07-07 13:06:59,32.2 MiB
2025-07-07 13:07:00,32.2 MiB
2025-07-07 13:07:01,32.2 MiB
2025-07-07 13:07:02,32.2 MiB
2025-07-07 13:07:03,32.2 MiB
2025-07-07 13:07:04,32.2 MiB
2025-07-07 13:07:05,32.2 MiB
2025-07-07 13:07:06,32.2 MiB
2025-07-07 13:07:07,32.2 MiB
2025-07-07 13:07:08,32.2 MiB
2025-07-07 13:07:09,32.2 MiB
2025-07-07 13:07:10,32.2 MiB
2025-07-07 13:07:11,32.2 MiB
2025-07-07 13:07:12,32.2 MiB
2025-07-07 13:07:13,32.2 MiB
2025-07-07 13:07:14,32.2 MiB
2025-07-07 13:07:15,32.2 MiB
2025-07-07 13:07:16,32.2 MiB
2025-07-07 13:07:17,32.2 MiB
2025-07-07 13:07:18,32.2 MiB
2025-07-07 13:07:19,32.2 MiB
2025-07-07 13:07:20,32.2 MiB
2025-07-07 13:07:21,32.2 MiB
2025-07-07 13:07:22,32.6 MiB
2025-07-07 13:07:23,32.6 MiB
2025-07-07 13:07:24,32.6 MiB
2025-07-07 13:07:25,32.6 MiB
2025-07-07 13:07:26,32.6 MiB
2025-07-07 13:07:27,32.6 MiB
2025-07-07 13:07:28,32.6 MiB
2025-07-07 13:07:29,32.6 MiB
2025-07-07 13:07:30,32.6 MiB
2025-07-07 13:07:31,32.6 MiB
2025-07-07 13:07:32,32.6 MiB
2025-07-07 13:07:33,32.6 MiB
2025-07-07 13:07:34,32.6 MiB
2025-07-07 13:07:35,32.6 MiB
2025-07-07 13:07:36,32.6 MiB
2025-07-07 13:07:37,32.6 MiB
2025-07-07 13:07:38,32.6 MiB
2025-07-07 13:07:39,32.4 MiB
2025-07-07 13:07:40,32.4 MiB
2025-07-07 13:07:41,32.4 MiB
2025-07-07 13:07:42,32.4 MiB
2025-07-07 13:07:43,32.4 MiB
2025-07-07 13:07:44,32.4 MiB
2025-07-07 13:07:45,32.4 MiB
2025-07-07 13:07:46,32.4 MiB
2025-07-07 13:07:47,32.4 MiB
2025-07-07 13:07:48,32.4 MiB
2025-07-07 13:07:49,32.4 MiB
2025-07-07 13:07:50,32.4 MiB
2025-07-07 13:07:51,32.4 MiB
2025-07-07 13:07:52,32.4 MiB
2025-07-07 13:07:53,32.4 MiB
2025-07-07 13:07:54,32.4 MiB
2025-07-07 13:07:55,32.4 MiB
2025-07-07 13:07:56,32.4 MiB
2025-07-07 13:07:57,32.4 MiB
2025-07-07 13:07:58,32.4 MiB
2025-07-07 13:07:59,32.4 MiB
2025-07-07 13:08:00,32.4 MiB
2025-07-07 13:08:01,32.4 MiB
2025-07-07 13:08:02,32.4 MiB
2025-07-07 13:08:03,32.4 MiB
2025-07-07 13:08:04,32.4 MiB
2025-07-07 13:08:05,32.4 MiB
2025-07-07 13:08:06,32.4 MiB
2025-07-07 13:08:07,32.4 MiB
2025-07-07 13:08:08,32.4 MiB
2025-07-07 13:08:09,32.4 MiB
2025-07-07 13:08:10,32.4 MiB
2025-07-07 13:08:11,32.4 MiB
2025-07-07 13:08:12,32.4 MiB
2025-07-07 13:08:13,32.4 MiB
2025-07-07 13:08:14,32.4 MiB
2025-07-07 13:08:15,32.4 MiB
2025-07-07 13:08:16,32.4 MiB
2025-07-07 13:08:17,32.4 MiB
2025-07-07 13:08:18,32.4 MiB
2025-07-07 13:08:19,32.4 MiB
2025-07-07 13:08:20,32.4 MiB
2025-07-07 13:08:21,32.4 MiB
2025-07-07 13:08:22,32.4 MiB
2025-07-07 13:08:23,32.4 MiB
2025-07-07 13:08:24,32.4 MiB
2025-07-07 13:08:25,32.4 MiB
2025-07-07 13:08:26,32.7 MiB
2025-07-07 13:08:27,32.7 MiB
2025-07-07 13:08:28,32.7 MiB
2025-07-07 13:08:29,32.7 MiB
2025-07-07 13:08:30,32.7 MiB
2025-07-07 13:08:31,32.7 MiB
2025-07-07 13:08:32,32.7 MiB
2025-07-07 13:08:33,32.7 MiB
2025-07-07 13:08:34,32.7 MiB
2025-07-07 13:08:35,32.7 MiB
2025-07-07 13:08:36,32.7 MiB
2025-07-07 13:08:37,32.7 MiB
2025-07-07 13:08:38,32.7 MiB
2025-07-07 13:08:39,32.7 MiB
2025-07-07 13:08:40,32.7 MiB
2025-07-07 13:08:41,32.7 MiB
2025-07-07 13:08:42,32.7 MiB
2025-07-07 13:08:43,32.7 MiB
2025-07-07 13:08:44,32.7 MiB
2025-07-07 13:08:45,32.7 MiB
2025-07-07 13:08:46,32.7 MiB
2025-07-07 13:08:47,32.7 MiB
2025-07-07 13:08:48,32.7 MiB
2025-07-07 13:08:49,32.7 MiB
2025-07-07 13:08:50,32.7 MiB
2025-07-07 13:08:51,32.7 MiB
2025-07-07 13:08:52,32.7 MiB
2025-07-07 13:08:53,32.7 MiB
2025-07-07 13:08:54,32.7 MiB
2025-07-07 13:08:55,32.7 MiB
2025-07-07 13:08:56,32.7 MiB
2025-07-07 13:08:57,32.7 MiB
2025-07-07 13:08:58,32.7 MiB
2025-07-07 13:08:59,32.7 MiB
2025-07-07 13:09:00,32.7 MiB
2025-07-07 13:09:01,32.8 MiB
2025-07-07 13:09:02,32.8 MiB
2025-07-07 13:09:03,32.8 MiB
2025-07-07 13:09:04,32.8 MiB
2025-07-07 13:09:05,32.8 MiB
2025-07-07 13:09:06,32.8 MiB
2025-07-07 13:09:07,32.8 MiB
2025-07-07 13:09:08,32.8 MiB
2025-07-07 13:09:09,32.8 MiB
2025-07-07 13:09:10,32.8 MiB
2025-07-07 13:09:11,32.8 MiB
2025-07-07 13:09:12,32.8 MiB
2025-07-07 13:09:13,32.8 MiB
2025-07-07 13:09:14,32.8 MiB
2025-07-07 13:09:15,32.8 MiB
2025-07-07 13:09:16,33.0 MiB
2025-07-07 13:09:17,33.0 MiB
2025-07-07 13:09:18,33.0 MiB
2025-07-07 13:09:19,33.0 MiB
2025-07-07 13:09:20,33.0 MiB
2025-07-07 13:09:21,33.0 MiB
2025-07-07 13:09:22,33.0 MiB
2025-07-07 13:09:23,33.0 MiB
2025-07-07 13:09:24,33.0 MiB
2025-07-07 13:09:25,33.0 MiB
2025-07-07 13:09:26,33.0 MiB
2025-07-07 13:09:27,32.8 MiB
2025-07-07 13:09:28,32.8 MiB
2025-07-07 13:09:29,32.8 MiB
2025-07-07 13:09:30,32.8 MiB
2025-07-07 13:09:31,32.8 MiB
2025-07-07 13:09:32,32.8 MiB
2025-07-07 13:09:33,32.8 MiB
2025-07-07 13:09:34,32.8 MiB
2025-07-07 13:09:35,32.8 MiB
2025-07-07 13:09:36,32.8 MiB
2025-07-07 13:09:37,32.8 MiB
2025-07-07 13:09:38,32.8 MiB
2025-07-07 13:09:39,32.8 MiB
2025-07-07 13:09:40,32.8 MiB
2025-07-07 13:09:41,32.8 MiB
2025-07-07 13:09:42,32.8 MiB
2025-07-07 13:09:43,32.8 MiB
2025-07-07 13:09:44,32.8 MiB
2025-07-07 13:09:45,32.8 MiB
2025-07-07 13:09:46,32.8 MiB
2025-07-07 13:09:47,32.8 MiB
2025-07-07 13:09:48,32.8 MiB
2025-07-07 13:09:49,32.8 MiB
2025-07-07 13:09:50,32.8 MiB
2025-07-07 13:09:51,32.9 MiB
2025-07-07 13:09:52,32.9 MiB
2025-07-07 13:09:53,32.9 MiB
2025-07-07 13:09:54,32.9 MiB
2025-07-07 13:09:55,32.9 MiB
2025-07-07 13:09:56,32.9 MiB
2025-07-07 13:09:57,32.9 MiB
2025-07-07 13:09:58,32.9 MiB
2025-07-07 13:09:59,32.9 MiB
2025-07-07 13:10:00,32.9 MiB
2025-07-07 13:10:01,32.9 MiB
2025-07-07 13:10:02,32.9 MiB
2025-07-07 13:10:03,32.9 MiB
2025-07-07 13:10:04,32.9 MiB
2025-07-07 13:10:05,32.9 MiB
2025-07-07 13:10:06,32.9 MiB
2025-07-07 13:10:07,32.9 MiB
2025-07-07 13:10:08,32.9 MiB
2025-07-07 13:10:09,32.9 MiB
2025-07-07 13:10:10,32.9 MiB
2025-07-07 13:10:11,32.9 MiB
2025-07-07 13:10:12,32.9 MiB
2025-07-07 13:10:13,32.9 MiB
2025-07-07 13:10:14,32.9 MiB
2025-07-07 13:10:15,32.9 MiB
2025-07-07 13:10:16,32.9 MiB
2025-07-07 13:10:17,32.9 MiB
2025-07-07 13:10:18,32.9 MiB
2025-07-07 13:10:19,33.1 MiB
2025-07-07 13:10:20,33.1 MiB
2025-07-07 13:10:21,33.1 MiB
2025-07-07 13:10:22,33.1 MiB
2025-07-07 13:10:23,33.1 MiB
2025-07-07 13:10:24,33.1 MiB
2025-07-07 13:10:25,33.1 MiB
2025-07-07 13:10:26,33.1 MiB
2025-07-07 13:10:27,33.1 MiB
2025-07-07 13:10:28,33.1 MiB
2025-07-07 13:10:29,33.1 MiB
2025-07-07 13:10:30,33.1 MiB
2025-07-07 13:10:31,33.0 MiB
2025-07-07 13:10:32,33.0 MiB
2025-07-07 13:10:33,33.0 MiB
2025-07-07 13:10:34,33.0 MiB
2025-07-07 13:10:35,33.0 MiB
2025-07-07 13:10:36,33.0 MiB
2025-07-07 13:10:37,33.0 MiB
2025-07-07 13:10:38,33.0 MiB
2025-07-07 13:10:39,33.0 MiB
2025-07-07 13:10:40,33.0 MiB
2025-07-07 13:10:41,33.0 MiB
2025-07-07 13:10:42,33.0 MiB
2025-07-07 13:10:43,33.0 MiB
2025-07-07 13:10:44,33.0 MiB
2025-07-07 13:10:45,33.0 MiB
2025-07-07 13:10:46,33.0 MiB
2025-07-07 13:10:47,33.0 MiB
2025-07-07 13:10:48,33.0 MiB
2025-07-07 13:10:49,33.0 MiB
2025-07-07 13:10:50,33.0 MiB
2025-07-07 13:10:51,33.0 MiB
2025-07-07 13:10:52,33.0 MiB
2025-07-07 13:10:53,33.0 MiB
2025-07-07 13:10:54,33.0 MiB
2025-07-07 13:10:55,33.0 MiB
2025-07-07 13:10:56,33.1 MiB
2025-07-07 13:10:57,33.1 MiB
2025-07-07 13:10:58,33.1 MiB
2025-07-07 13:10:59,33.1 MiB
2025-07-07 13:11:00,33.1 MiB
2025-07-07 13:11:01,33.1 MiB
2025-07-07 13:11:02,33.1 MiB
2025-07-07 13:11:03,33.1 MiB
2025-07-07 13:11:04,33.1 MiB
2025-07-07 13:11:05,33.1 MiB
2025-07-07 13:11:06,33.1 MiB
2025-07-07 13:11:07,33.1 MiB
2025-07-07 13:11:08,33.1 MiB
2025-07-07 13:11:09,33.1 MiB
2025-07-07 13:11:10,33.1 MiB
2025-07-07 13:11:11,33.1 MiB
2025-07-07 13:11:12,33.1 MiB
2025-07-07 13:11:13,33.1 MiB
2025-07-07 13:11:14,33.1 MiB
2025-07-07 13:11:15,33.1 MiB
2025-07-07 13:11:16,33.1 MiB
2025-07-07 13:11:17,33.1 MiB
2025-07-07 13:11:18,33.1 MiB
2025-07-07 13:11:19,33.1 MiB
2025-07-07 13:11:20,33.1 MiB
2025-07-07 13:11:21,33.1 MiB
2025-07-07 13:11:22,33.1 MiB
2025-07-07 13:11:23,33.1 MiB
2025-07-07 13:11:24,33.1 MiB
2025-07-07 13:11:25,33.1 MiB
2025-07-07 13:11:26,33.1 MiB
2025-07-07 13:11:27,33.1 MiB
2025-07-07 13:11:28,33.2 MiB
2025-07-07 13:11:29,33.2 MiB
2025-07-07 13:11:30,33.2 MiB
2025-07-07 13:11:31,33.2 MiB
2025-07-07 13:11:32,33.2 MiB
2025-07-07 13:11:33,33.2 MiB
2025-07-07 13:11:34,33.2 MiB
2025-07-07 13:11:35,33.2 MiB
2025-07-07 13:11:36,33.2 MiB
2025-07-07 13:11:37,33.2 MiB
2025-07-07 13:11:38,33.2 MiB
2025-07-07 13:11:39,33.2 MiB
2025-07-07 13:11:40,33.2 MiB
2025-07-07 13:11:41,33.2 MiB
2025-07-07 13:11:42,33.2 MiB
2025-07-07 13:11:43,33.2 MiB
2025-07-07 13:11:44,33.2 MiB
2025-07-07 13:11:45,33.2 MiB
2025-07-07 13:11:46,33.2 MiB
2025-07-07 13:11:47,33.2 MiB
2025-07-07 13:11:48,33.2 MiB
2025-07-07 13:11:49,33.2 MiB
2025-07-07 13:11:50,33.2 MiB
2025-07-07 13:11:51,33.2 MiB
2025-07-07 13:11:52,33.2 MiB
2025-07-07 13:11:53,33.2 MiB
2025-07-07 13:11:54,33.2 MiB
2025-07-07 13:11:55,33.2 MiB
2025-07-07 13:11:56,33.2 MiB
2025-07-07 13:11:57,33.3 MiB
2025-07-07 13:11:58,33.3 MiB
2025-07-07 13:11:59,33.3 MiB
2025-07-07 13:12:00,33.3 MiB
2025-07-07 13:12:01,33.3 MiB
2025-07-07 13:12:02,33.3 MiB
2025-07-07 13:12:03,33.3 MiB
2025-07-07 13:12:04,33.3 MiB
2025-07-07 13:12:05,33.3 MiB
2025-07-07 13:12:06,33.3 MiB
2025-07-07 13:12:07,33.3 MiB
2025-07-07 13:12:08,33.3 MiB
2025-07-07 13:12:09,33.3 MiB
2025-07-07 13:12:10,33.3 MiB
2025-07-07 13:12:11,33.3 MiB
2025-07-07 13:12:12,33.3 MiB
2025-07-07 13:12:13,33.3 MiB
2025-07-07 13:12:14,33.6 MiB
2025-07-07 13:12:15,33.6 MiB
2025-07-07 13:12:16,33.6 MiB
2025-07-07 13:12:17,33.6 MiB
2025-07-07 13:12:18,33.6 MiB
2025-07-07 13:12:19,33.6 MiB
2025-07-07 13:12:20,33.6 MiB
2025-07-07 13:12:21,33.6 MiB
2025-07-07 13:12:22,33.6 MiB
2025-07-07 13:12:23,33.6 MiB
2025-07-07 13:12:24,33.6 MiB
2025-07-07 13:12:25,33.6 MiB
2025-07-07 13:12:26,33.6 MiB
2025-07-07 13:12:27,33.6 MiB
2025-07-07 13:12:28,33.6 MiB
2025-07-07 13:12:29,33.6 MiB
2025-07-07 13:12:30,33.4 MiB
2025-07-07 13:12:31,33.4 MiB
2025-07-07 13:12:32,33.4 MiB
2025-07-07 13:12:33,33.4 MiB
2025-07-07 13:12:34,33.4 MiB
2025-07-07 13:12:35,33.4 MiB
2025-07-07 13:12:36,33.4 MiB
2025-07-07 13:12:37,33.4 MiB
2025-07-07 13:12:38,33.4 MiB
2025-07-07 13:12:39,33.4 MiB
2025-07-07 13:12:40,33.4 MiB
2025-07-07 13:12:41,34.0 MiB
2025-07-07 13:12:42,34.0 MiB
2025-07-07 13:12:43,34.0 MiB
2025-07-07 13:12:44,34.0 MiB
2025-07-07 13:12:45,34.0 MiB
2025-07-07 13:12:46,34.0 MiB
2025-07-07 13:12:47,34.0 MiB
2025-07-07 13:12:48,34.0 MiB
2025-07-07 13:12:49,34.0 MiB
2025-07-07 13:12:50,34.0 MiB
2025-07-07 13:12:51,34.0 MiB
2025-07-07 13:12:52,34.0 MiB
2025-07-07 13:12:53,34.0 MiB
2025-07-07 13:12:54,34.0 MiB
2025-07-07 13:12:55,34.0 MiB
2025-07-07 13:12:56,34.0 MiB
2025-07-07 13:12:57,34.0 MiB
2025-07-07 13:12:58,34.0 MiB
2025-07-07 13:12:59,34.0 MiB
2025-07-07 13:13:00,34.0 MiB
2025-07-07 13:13:01,34.0 MiB
2025-07-07 13:13:02,34.0 MiB
2025-07-07 13:13:03,34.0 MiB
2025-07-07 13:13:04,34.0 MiB
2025-07-07 13:13:05,34.0 MiB
2025-07-07 13:13:06,34.0 MiB
2025-07-07 13:13:07,34.0 MiB
2025-07-07 13:13:08,34.0 MiB
2025-07-07 13:13:09,34.0 MiB
2025-07-07 13:13:10,34.0 MiB
