"Time","image-filter-cfbfd9b5f-zgrv9"
2025-07-07 10:47:33,31.8 MiB
2025-07-07 10:47:34,31.8 MiB
2025-07-07 10:47:35,31.8 MiB
2025-07-07 10:47:36,31.8 MiB
2025-07-07 10:47:37,31.8 MiB
2025-07-07 10:47:38,31.8 MiB
2025-07-07 10:47:39,31.8 MiB
2025-07-07 10:47:40,31.8 MiB
2025-07-07 10:47:41,31.8 MiB
2025-07-07 10:47:42,31.8 MiB
2025-07-07 10:47:43,31.8 MiB
2025-07-07 10:47:44,31.8 MiB
2025-07-07 10:47:45,31.9 MiB
2025-07-07 10:47:46,31.9 MiB
2025-07-07 10:47:47,31.9 MiB
2025-07-07 10:47:48,31.9 MiB
2025-07-07 10:47:49,31.9 MiB
2025-07-07 10:47:50,31.9 MiB
2025-07-07 10:47:51,31.9 MiB
2025-07-07 10:47:52,31.9 MiB
2025-07-07 10:47:53,31.9 MiB
2025-07-07 10:47:54,31.9 MiB
2025-07-07 10:47:55,31.9 MiB
2025-07-07 10:47:56,31.9 MiB
2025-07-07 10:47:57,31.9 MiB
2025-07-07 10:47:58,31.9 MiB
2025-07-07 10:47:59,31.9 MiB
2025-07-07 10:48:00,31.9 MiB
2025-07-07 10:48:01,31.9 MiB
2025-07-07 10:48:02,31.9 MiB
2025-07-07 10:48:03,31.9 MiB
2025-07-07 10:48:04,31.9 MiB
2025-07-07 10:48:05,31.9 MiB
2025-07-07 10:48:06,31.9 MiB
2025-07-07 10:48:07,31.9 MiB
2025-07-07 10:48:08,31.9 MiB
2025-07-07 10:48:09,31.9 MiB
2025-07-07 10:48:10,31.9 MiB
2025-07-07 10:48:11,31.9 MiB
2025-07-07 10:48:12,31.9 MiB
2025-07-07 10:48:13,31.9 MiB
2025-07-07 10:48:14,31.9 MiB
2025-07-07 10:48:15,31.9 MiB
2025-07-07 10:48:16,31.9 MiB
2025-07-07 10:48:17,31.9 MiB
2025-07-07 10:48:18,31.9 MiB
2025-07-07 10:48:19,31.9 MiB
2025-07-07 10:48:20,31.9 MiB
2025-07-07 10:48:21,31.9 MiB
2025-07-07 10:48:22,31.9 MiB
2025-07-07 10:48:23,31.9 MiB
2025-07-07 10:48:24,31.9 MiB
2025-07-07 10:48:25,31.9 MiB
2025-07-07 10:48:26,31.9 MiB
2025-07-07 10:48:27,31.9 MiB
2025-07-07 10:48:28,31.9 MiB
2025-07-07 10:48:29,31.9 MiB
2025-07-07 10:48:30,31.9 MiB
2025-07-07 10:48:31,31.9 MiB
2025-07-07 10:48:32,31.9 MiB
2025-07-07 10:48:33,31.9 MiB
2025-07-07 10:48:34,31.9 MiB
2025-07-07 10:48:35,31.9 MiB
2025-07-07 10:48:36,31.9 MiB
2025-07-07 10:48:37,31.9 MiB
2025-07-07 10:48:38,31.9 MiB
2025-07-07 10:48:39,31.4 MiB
2025-07-07 10:48:40,31.4 MiB
2025-07-07 10:48:41,31.4 MiB
2025-07-07 10:48:42,31.4 MiB
2025-07-07 10:48:43,31.4 MiB
2025-07-07 10:48:44,31.4 MiB
2025-07-07 10:48:45,31.4 MiB
2025-07-07 10:48:46,31.4 MiB
2025-07-07 10:48:47,31.4 MiB
2025-07-07 10:48:48,31.4 MiB
2025-07-07 10:48:49,31.4 MiB
2025-07-07 10:48:50,31.4 MiB
2025-07-07 10:48:51,31.4 MiB
2025-07-07 10:48:52,31.4 MiB
2025-07-07 10:48:53,31.4 MiB
2025-07-07 10:48:54,31.4 MiB
2025-07-07 10:48:55,31.4 MiB
2025-07-07 10:48:56,31.4 MiB
2025-07-07 10:48:57,31.4 MiB
2025-07-07 10:48:58,31.6 MiB
2025-07-07 10:48:59,31.6 MiB
2025-07-07 10:49:00,31.6 MiB
2025-07-07 10:49:01,31.6 MiB
2025-07-07 10:49:02,31.6 MiB
2025-07-07 10:49:03,31.6 MiB
2025-07-07 10:49:04,31.6 MiB
2025-07-07 10:49:05,31.6 MiB
2025-07-07 10:49:06,31.6 MiB
2025-07-07 10:49:07,31.6 MiB
2025-07-07 10:49:08,31.6 MiB
2025-07-07 10:49:09,31.7 MiB
2025-07-07 10:49:10,31.7 MiB
2025-07-07 10:49:11,31.7 MiB
2025-07-07 10:49:12,31.7 MiB
2025-07-07 10:49:13,31.7 MiB
2025-07-07 10:49:14,31.7 MiB
2025-07-07 10:49:15,31.7 MiB
2025-07-07 10:49:16,31.7 MiB
2025-07-07 10:49:17,31.7 MiB
2025-07-07 10:49:18,31.7 MiB
2025-07-07 10:49:19,31.7 MiB
2025-07-07 10:49:20,31.7 MiB
2025-07-07 10:49:21,31.7 MiB
2025-07-07 10:49:22,31.7 MiB
2025-07-07 10:49:23,31.7 MiB
2025-07-07 10:49:24,31.7 MiB
2025-07-07 10:49:25,31.8 MiB
2025-07-07 10:49:26,31.8 MiB
2025-07-07 10:49:27,31.8 MiB
2025-07-07 10:49:28,31.8 MiB
2025-07-07 10:49:29,31.8 MiB
2025-07-07 10:49:30,31.8 MiB
2025-07-07 10:49:31,31.8 MiB
2025-07-07 10:49:32,31.8 MiB
2025-07-07 10:49:33,31.8 MiB
2025-07-07 10:49:34,31.8 MiB
2025-07-07 10:49:35,31.8 MiB
2025-07-07 10:49:36,31.8 MiB
2025-07-07 10:49:37,31.8 MiB
2025-07-07 10:49:38,31.8 MiB
2025-07-07 10:49:39,31.8 MiB
2025-07-07 10:49:40,31.8 MiB
2025-07-07 10:49:41,31.8 MiB
2025-07-07 10:49:42,31.8 MiB
2025-07-07 10:49:43,31.8 MiB
2025-07-07 10:49:44,31.8 MiB
2025-07-07 10:49:45,31.8 MiB
2025-07-07 10:49:46,31.8 MiB
2025-07-07 10:49:47,31.8 MiB
2025-07-07 10:49:48,31.8 MiB
2025-07-07 10:49:49,31.8 MiB
2025-07-07 10:49:50,31.9 MiB
2025-07-07 10:49:51,31.9 MiB
2025-07-07 10:49:52,31.9 MiB
2025-07-07 10:49:53,31.9 MiB
2025-07-07 10:49:54,31.9 MiB
2025-07-07 10:49:55,31.9 MiB
2025-07-07 10:49:56,31.9 MiB
2025-07-07 10:49:57,31.9 MiB
2025-07-07 10:49:58,31.9 MiB
2025-07-07 10:49:59,31.9 MiB
2025-07-07 10:50:00,31.9 MiB
2025-07-07 10:50:01,31.9 MiB
2025-07-07 10:50:02,31.9 MiB
2025-07-07 10:50:03,31.9 MiB
2025-07-07 10:50:04,31.9 MiB
2025-07-07 10:50:05,31.9 MiB
2025-07-07 10:50:06,31.9 MiB
2025-07-07 10:50:07,31.9 MiB
2025-07-07 10:50:08,31.9 MiB
2025-07-07 10:50:09,31.9 MiB
2025-07-07 10:50:10,31.9 MiB
2025-07-07 10:50:11,31.9 MiB
2025-07-07 10:50:12,31.9 MiB
2025-07-07 10:50:13,31.9 MiB
2025-07-07 10:50:14,31.9 MiB
2025-07-07 10:50:15,31.9 MiB
2025-07-07 10:50:16,31.9 MiB
2025-07-07 10:50:17,31.9 MiB
2025-07-07 10:50:18,31.9 MiB
2025-07-07 10:50:19,32.3 MiB
2025-07-07 10:50:20,32.3 MiB
2025-07-07 10:50:21,32.3 MiB
2025-07-07 10:50:22,32.3 MiB
2025-07-07 10:50:23,32.3 MiB
2025-07-07 10:50:24,32.3 MiB
2025-07-07 10:50:25,32.3 MiB
2025-07-07 10:50:26,32.3 MiB
2025-07-07 10:50:27,32.3 MiB
2025-07-07 10:50:28,32.3 MiB
2025-07-07 10:50:29,32.3 MiB
2025-07-07 10:50:30,32.3 MiB
2025-07-07 10:50:31,31.8 MiB
2025-07-07 10:50:32,31.8 MiB
2025-07-07 10:50:33,31.8 MiB
2025-07-07 10:50:34,31.8 MiB
2025-07-07 10:50:35,31.8 MiB
2025-07-07 10:50:36,31.8 MiB
2025-07-07 10:50:37,31.8 MiB
2025-07-07 10:50:38,31.8 MiB
2025-07-07 10:50:39,31.8 MiB
2025-07-07 10:50:40,31.8 MiB
2025-07-07 10:50:41,31.8 MiB
2025-07-07 10:50:42,31.8 MiB
2025-07-07 10:50:43,31.8 MiB
2025-07-07 10:50:44,31.8 MiB
2025-07-07 10:50:45,31.8 MiB
2025-07-07 10:50:46,31.8 MiB
2025-07-07 10:50:47,31.8 MiB
2025-07-07 10:50:48,31.9 MiB
2025-07-07 10:50:49,31.9 MiB
2025-07-07 10:50:50,31.9 MiB
2025-07-07 10:50:51,31.9 MiB
2025-07-07 10:50:52,31.9 MiB
2025-07-07 10:50:53,31.9 MiB
2025-07-07 10:50:54,31.9 MiB
2025-07-07 10:50:55,31.9 MiB
2025-07-07 10:50:56,31.9 MiB
2025-07-07 10:50:57,31.9 MiB
2025-07-07 10:50:58,31.9 MiB
2025-07-07 10:50:59,31.9 MiB
2025-07-07 10:51:00,31.9 MiB
2025-07-07 10:51:01,31.9 MiB
2025-07-07 10:51:02,31.9 MiB
2025-07-07 10:51:03,31.9 MiB
2025-07-07 10:51:04,31.9 MiB
2025-07-07 10:51:05,31.8 MiB
2025-07-07 10:51:06,31.8 MiB
2025-07-07 10:51:07,31.8 MiB
2025-07-07 10:51:08,31.8 MiB
2025-07-07 10:51:09,31.8 MiB
2025-07-07 10:51:10,31.8 MiB
2025-07-07 10:51:11,31.8 MiB
2025-07-07 10:51:12,31.8 MiB
2025-07-07 10:51:13,31.8 MiB
2025-07-07 10:51:14,31.8 MiB
2025-07-07 10:51:15,31.8 MiB
2025-07-07 10:51:16,31.8 MiB
2025-07-07 10:51:17,31.8 MiB
2025-07-07 10:51:18,31.9 MiB
2025-07-07 10:51:19,31.9 MiB
2025-07-07 10:51:20,31.9 MiB
2025-07-07 10:51:21,31.9 MiB
2025-07-07 10:51:22,31.9 MiB
2025-07-07 10:51:23,31.9 MiB
2025-07-07 10:51:24,31.9 MiB
2025-07-07 10:51:25,31.9 MiB
2025-07-07 10:51:26,31.9 MiB
2025-07-07 10:51:27,31.9 MiB
2025-07-07 10:51:28,31.9 MiB
2025-07-07 10:51:29,31.9 MiB
2025-07-07 10:51:30,31.9 MiB
